# SAXS profile: number of points = 501, q_min = 0, q_max = 0.5, delta_q = 0.001
#    q    intensity    error
0.27600001 62938.87363472  3138.13238794
0.27700001 61495.31932828  3590.09691229
0.27800001 60085.00190333  3520.38042813
0.27900001 58709.21528405  2958.94459036
0.28000001 57366.61295694  2418.00285058
0.28100001 56056.66885138  2608.31692510
0.28200001 54779.90271743  2790.48837650
0.28300001 53535.09369004  2280.59509914
0.28400001 52321.90307139  2907.78990082
0.28500001 51140.18983466  2413.30567252
0.28600001 49988.31408099  2582.39642765
0.28700001 48867.37964463  2322.17799063
0.28800001 47775.44714890  2485.27887832
0.28900001 46714.48349885  2032.08012839
0.29000001 45680.90797535  2592.16324576
0.29100001 44677.11538402  1956.85774645
0.29200001 43700.71223269  2304.77567225
0.29300001 42751.96642420  2450.97035112
0.29400001 41830.37131869  2221.19282217
0.29500001 40936.49783200  2181.09670774
0.29600001 40067.91719090  2499.03611349
0.29700001 39224.97408711  2630.03463704
0.29800001 38408.31750658  2067.13574606
0.29900001 37616.49119616  1692.74218396
0.30000001 36849.26373226  2162.86763715
0.30100001 36107.07957763  1635.65078230
0.30200001 35387.57467986  1608.36534534
0.30300001 34692.15686251  1581.96242782
0.30400001 34020.33766995  2490.28883533
0.30500001 33369.99616745  2910.19750354
0.30600001 32742.29203597  2110.89566749
0.30700001 32136.86060945  1484.72303045
0.30800001 31552.72967636  1901.20981666
0.30900001 30989.42835591  1441.00848677
0.31000001 30447.76876557  1988.54387223
0.31100001 29924.91527381  1540.53471123
0.31200001 29423.05302066  1795.83612614
0.31300001 28940.10318783  1499.38681715
0.31400001 28477.93149384  1614.69879215
0.31500001 28033.47295179  2524.69469357
0.31600002 27607.65823038  1444.01863211
0.31700002 27199.54003808  1556.90174550
0.31800002 26809.79792546  2180.84311551
0.31900002 26437.59775122  1522.80570257
0.32000002 26082.15823728  1381.44157645
0.32100002 25743.84894393  1243.42796287
0.32200002 25422.06595106  1847.54873048
0.32300002 25115.56688747  1708.86325194
0.32400002 24825.26695073  1452.27818539
0.32500002 24549.87846637  1680.68475939
0.32600002 24290.12995233  1787.14639587
0.32700002 24044.93785188  1301.31209816
0.32800002 23814.83724319  1645.36718305
0.32900002 23597.62527538  1401.69900773
0.33000002 23395.94218594  1393.93030145
0.33100002 23205.29564862  1155.62377802
0.33200002 23030.26473718  1265.39795591
0.33300002 22867.09973746  1374.77010132
0.33400002 22717.02963913  1255.68387277
0.33500002 22578.72928541  1365.56161185
0.33600002 22452.57851080  1361.97347696
0.33700002 22337.31819904  1472.25271222
0.33800002 22234.99110285  1582.90909157
0.33900002 22142.52194453  1580.97614171
0.34000002 22061.70048517  1466.99284324
0.34100002 21991.09828583  1240.95773504
0.34200002 21931.96400142  1354.07952158
0.34300002 21881.38624655  1467.80345893
0.34400002 21841.55085357  1130.30031020
0.34500002 21810.83925683  1131.98261104
0.34600002 21790.58829228  1701.30026149
0.34700002 21777.33606812  1364.13239591
0.34800002 21774.38571901  1481.85589029
0.34900002 21779.61133283  1600.80150878
0.35000002 21793.29311180  1147.41693668
0.35100002 21814.91132027  1382.19284672
0.35200002 21843.74058213  1156.62611861
0.35300002 21880.52963187  1510.41303203
0.35400002 21925.13362583  1868.02147340
0.35500002 21976.59053116  1290.90498894
0.35600002 22034.49360272  1297.94190714
0.35700002 22099.15293507  1305.39702570
0.35800002 22171.02524097  1313.30074235
0.35900002 22248.60036574  1802.13671498
0.36000002 22332.95776363  1693.06160825
0.36100002 22422.21831158  1704.53711678
0.36200002 22518.47054985  1716.58309132
0.36300002 22618.15184934  1605.43649431
0.36400002 22724.13401250  1492.97567534
0.36500002 22834.49328899  1504.33648914
0.36600002 22950.43122720  1895.13194836
0.36700002 23070.52907313  1655.54124471
0.36800002 23196.42319905  1797.49091884
0.36900002 23325.58176630  1941.85477403
0.37000002 23458.08486913  1566.53098177
0.37100002 23594.91205631  1448.25577062
0.37200002 23736.06483835  1460.83617968
0.37300002 23879.98336501  1607.60055629
0.37400002 24028.42729120  1757.07882890
0.37500002 24178.94366508  1500.06173604
0.37600002 24333.66444217  2064.10318409
0.37700002 24489.95843258  1805.15492158
0.37800002 24650.07204878  1541.49232859
0.37900002 24812.56440139  1555.74786167
0.38000002 24977.48237800  1427.46318553
0.38100002 25144.23310985  1440.76462545
0.38200002 25313.46168430  1599.68428692
0.38300002 25484.37920743  1467.90031189
0.38400002 25657.97247217  1926.27237460
0.38500002 25832.01594838  1944.37593255
0.38600002 26008.99678848  1811.78680212
0.38700002 26186.10425756  1828.83760799
0.38800002 26364.70929235  1692.21894610
0.38900002 26544.63324100  1863.43334180
0.39000002 26726.30586309  1880.99749576
0.39100002 26907.97956857  2215.06498303
0.39200002 27090.99479422  2235.81990629
0.39300002 27274.26872473  2256.67310120
0.39400002 27458.93814656  2115.02481094
0.39500002 27643.23250499  2298.81132403
0.39600002 27827.77388849  2154.28721764
0.39700002 28012.34489560  2006.80448340
0.39800002 28198.00534665  1687.65069996
0.39900002 28382.65021597  2043.55091237
0.40000002 28567.31337430  1890.15637896
0.40100002 28751.70209610  2253.84603410
0.40200002 28936.76537888  2448.91857004
0.40300002 29120.40739057  2647.04515722
0.40400002 29303.48053296  1958.20517940
0.40500002 29486.19882720  2693.56439049
0.40600002 29668.30069536  1992.37482760
0.40700002 29849.58560643  1826.79472567
0.40800002 30030.19942271  2763.52923281
0.40900002 30209.20560092  2415.22610223
0.41000002 30387.84251346  2435.43375364
0.41100002 30565.07532881  2266.70609379
0.41200002 30740.48147606  2285.24750121
0.41300002 30915.10031716  2687.75894893
0.41400002 31088.32357870  2128.77305792
0.41500002 31260.52921459  3121.05138467
0.41600002 31429.94323176  2359.13165076
0.41700002 31598.69072958  2179.36180289
0.41800002 31766.56651897  3394.09896055
0.41900002 31930.79472225  2212.80417910
0.42000002 32094.07236882  2432.08891935
0.42100002 32255.96583879  2245.98300778
0.42200002 32415.89584548  2673.82529551
0.42300002 32573.32485261  3314.66169407
0.42400002 32728.71591131  2712.39245968
0.42500002 32882.50748458  2731.55002618
0.42600002 33032.82146775  2327.32754679
0.42700002 33182.31966648  2982.42703295
0.42800002 33328.94574204  3646.02019222
0.42900002 33473.85293193  3886.31450956
0.43000002 33616.44976576  2390.63393838
0.43100002 33755.25303802  2843.54265067
0.43200002 33892.57757542  3301.98452676
0.43300002 34027.06926432  2436.67854549
0.43400002 34159.38515030  3120.45998135
0.43500002 34288.74650880  3363.72619192
0.43600002 34416.43389172  2707.19681821
0.43700002 34540.63744654  2950.11598411
0.43800002 34661.26166941  2282.44418909
0.43900002 34780.45725646  2754.61234525
0.44000002 34896.10933814  2770.05329053
0.44100002 35009.61896792  3017.47920184
0.44200002 35120.08583307  2567.10279562
0.44300002 35228.01314955  2815.42294434
0.44400002 35332.39156947  3537.65587355
0.44500002 35433.30339692  2370.48810959
0.44600002 35532.06568115  3573.63767524
0.44700002 35628.08640724  2873.04902404
0.44800002 35720.09320065  2405.74839108
0.44900002 35810.41502737  3625.80469335
0.45000002 35897.37648192  3642.68645114
0.45100002 35980.16547198  2927.34640153
0.45200002 36060.88966642  3430.47259655
0.45300002 36137.98082379  3691.49491610
0.45400002 36212.48477216  2965.80264340
0.45500002 36283.82802139  2729.99534971
0.45600002 36351.57271334  3488.66059864
0.45700002 36416.47048225  2751.99280477
0.45800002 36477.59726175  3767.22403575
0.45900002 36535.87336390  3781.46307238
0.46000002 36591.71971378  2783.34929194
0.46100002 36643.07439211  3047.23821087
0.46200002 36692.22651050  3057.93030232
0.46300002 36737.61792203  4602.48899141
0.46400002 36779.47515516  2821.90536503
0.46500002 36819.06271428  3345.74838742
0.46600002 36854.59393517  3356.16375577
0.46700002 36887.00930313  2848.41499339
0.46800002 36916.76739756  2856.80418046
0.46900002 36942.69157577  3385.79784339
0.47000002 36965.08316466  2872.74157430
0.47100002 36984.75266657  3404.07679677
0.47200002 37000.97800917  2625.21951418
0.47300002 37014.53061872  2631.73325173
0.47400002 37023.55378633  3165.51399877
0.47500002 37030.51223665  2908.37656892
0.47600002 37034.46896345  2914.79801792
0.47700002 37034.10713321  3451.94928950
